UserId,No_of_events,Ratio_of_categories_interacted,Ratio_of_skewness_of_events_to_detect_bot_behaviour,Ratio_of_amount_events_done_more_by_a_typical_bot,Fake
00079D439D,19.0,0.3333333333333333,0.631578947368421,0.0542202099562776,0.0
0007A4D4AE,20.0,0.3333333333333333,0.45,0.10970548416450274,0.0
000AFE2623,21.0,0.6666666666666666,0.6666666666666666,0.16519075837272787,0.0
001A5362BC,16.0,0.3333333333333333,0.625,-0.11223561266839782,0.0
0025995AF5,21.0,0.8333333333333334,0.5238095238095237,0.16519075837272787,0.0
002AC5849C,18.0,0.5,0.6666666666666667,-0.0012650642519475416,0.0
0053B64389,20.0,0.5,0.35,0.10970548416450274,0.0
005D4C911D,18.0,0.5,0.5555555555555556,-0.0012650642519475416,0.0
00677C8CD5,19.0,0.5,0.5263157894736842,0.0542202099562776,0.0
007E6F5744,19.0,0.8333333333333334,0.6842105263157894,0.0542202099562776,0.0
0086F5883C,16.0,0.16666666666666666,0.4375,-0.11223561266839782,0.0
00959C30ED,18.0,0.3333333333333333,0.8333333333333334,-0.0012650642519475416,0.0
00999EF02A,19.0,0.6666666666666666,0.631578947368421,0.0542202099562776,0.0
00AE418236,17.0,0.3333333333333333,0.5882352941176471,-0.056750338460172675,0.0
00C831A888,16.0,0.5,0.75,-0.11223561266839782,0.0
00CABCB25E,17.0,0.5,0.6470588235294118,-0.056750338460172675,0.0
00CE1216E2,21.0,0.3333333333333333,0.5238095238095237,0.16519075837272787,0.0
00F02040A8,17.0,0.3333333333333333,0.5882352941176471,-0.056750338460172675,0.0
00FEFAB150,15.0,0.3333333333333333,0.4666666666666667,-0.16772088687662295,0.0
01095D30A3,20.0,0.8333333333333334,0.55,0.10970548416450274,0.0
011B7120CC,20.0,0.3333333333333333,0.45000000000000007,0.10970548416450274,0.0
011BFC0E4C,17.0,0.5,0.6470588235294117,-0.056750338460172675,0.0
0122428A28,17.0,0.16666666666666666,0.4117647058823529,-0.056750338460172675,0.0
01281B7B8D,17.0,0.5,0.6470588235294117,-0.056750338460172675,0.0
013305E3E3,20.0,0.5,0.65,0.10970548416450274,0.0
013C0F787F,18.0,0.3333333333333333,0.6111111111111112,-0.0012650642519475416,0.0
014AFCC716,16.0,0.5,0.5,-0.11223561266839782,0.0
014C68683D,16.0,0.16666666666666666,0.3125,-0.11223561266839782,0.0
014DA69DE8,19.0,0.5,0.631578947368421,0.0542202099562776,0.0
0150E4A297,15.0,0.5,0.8,-0.16772088687662295,0.0
01532AB9BD,20.0,0.8333333333333334,0.6499999999999999,0.10970548416450274,0.0
0162443C27,19.0,0.5,0.6842105263157894,0.0542202099562776,0.0
016ABF6FC8,18.0,0.3333333333333333,0.4444444444444444,-0.0012650642519475416,0.0
016B96383C,15.0,0.5,0.4,-0.16772088687662295,0.0
017769EC70,15.0,0.3333333333333333,0.7333333333333334,-0.16772088687662295,0.0
0178325C29,20.0,0.5,0.55,0.10970548416450274,0.0
019C0ED414,17.0,0.3333333333333333,0.5294117647058824,-0.056750338460172675,0.0
01AA98C28F,16.0,0.3333333333333333,0.4375,-0.11223561266839782,0.0
01B2CE0E4C,17.0,0.5,0.6470588235294118,-0.056750338460172675,0.0
01B768B650,20.0,0.5,0.55,0.10970548416450274,0.0
01C2ADAF4F,21.0,0.3333333333333333,0.6190476190476191,0.16519075837272787,0.0
01C4CFC6EF,20.0,0.16666666666666666,0.65,0.10970548416450274,0.0
01DC4D1ACC,20.0,0.3333333333333333,0.7000000000000001,0.10970548416450274,0.0
0220A8E656,17.0,0.3333333333333333,0.6470588235294118,-0.056750338460172675,0.0
02330B1CC5,42.0,0.8333333333333334,0.8809523809523809,1.3303815167454558,1.0
025A68966D,16.0,0.6666666666666666,0.3125,-0.11223561266839782,0.0
025A88F756,15.0,0.5,0.4666666666666667,-0.16772088687662295,0.0
02631565A8,19.0,0.5,0.5789473684210527,0.0542202099562776,0.0
02711565AC,19.0,0.6666666666666666,0.7368421052631579,0.0542202099562776,0.0
0278732F9A,49.0,0.8333333333333334,0.9795918367346939,1.7187784362030316,1.0
027A55F23E,19.0,0.5,0.631578947368421,0.0542202099562776,0.0
02841F9ECB,20.0,0.5,0.6499999999999999,0.10970548416450274,0.0
028FA4A557,44.0,0.8333333333333334,0.9318181818181817,1.441352065161906,1.0
029310FBFE,19.0,0.5,0.631578947368421,0.0542202099562776,0.0
02AAF3CC3C,19.0,0.16666666666666666,0.631578947368421,0.0542202099562776,0.0
02B02B0CCA,18.0,0.6666666666666666,0.6666666666666666,-0.0012650642519475416,0.0
02C1B69865,19.0,0.3333333333333333,0.6842105263157894,0.0542202099562776,0.0
02C7E25061,16.0,0.3333333333333333,0.625,-0.11223561266839782,0.0
02CA54760F,17.0,0.3333333333333333,0.7058823529411765,-0.056750338460172675,0.0
02DF3FDDA1,21.0,0.5,0.47619047619047616,0.16519075837272787,0.0
02E81C8627,19.0,0.3333333333333333,0.6842105263157894,0.0542202099562776,0.0
02ECC21E6A,15.0,0.3333333333333333,0.7333333333333334,-0.16772088687662295,0.0
0308D8D6CD,20.0,0.5,0.55,0.10970548416450274,0.0
0309F69314,20.0,0.5,0.7,0.10970548416450274,0.0
0314C98A82,15.0,0.5,0.4666666666666667,-0.16772088687662295,0.0
03213284E5,15.0,0.6666666666666666,0.5333333333333333,-0.16772088687662295,0.0
032F9F6950,18.0,0.5,0.7777777777777777,-0.0012650642519475416,0.0
034F180CF7,15.0,0.3333333333333333,0.4,-0.16772088687662295,0.0
034F809D39,15.0,0.3333333333333333,0.8666666666666667,-0.16772088687662295,0.0
03621B1544,36.0,0.8333333333333334,0.861111111111111,0.9974698714961049,1.0
0374FE05FD,15.0,0.6666666666666666,0.6666666666666667,-0.16772088687662295,0.0
038FDA4873,21.0,0.16666666666666666,0.6666666666666666,0.16519075837272787,0.0
03B76E6CEC,20.0,0.16666666666666666,0.6,0.10970548416450274,0.0
03CD4EB11D,18.0,0.3333333333333333,0.4444444444444444,-0.0012650642519475416,0.0
03D1BBBE8D,16.0,0.5,0.625,-0.11223561266839782,0.0
03D4006111,21.0,0.5,0.5238095238095237,0.16519075837272787,0.0
03D6F69480,18.0,0.5,0.6111111111111112,-0.0012650642519475416,0.0
03E3328BED,16.0,0.16666666666666666,0.4375,-0.11223561266839782,0.0
03EFC77FE5,16.0,0.3333333333333333,0.4375,-0.11223561266839782,0.0
03F414E035,18.0,0.3333333333333333,0.7777777777777777,-0.0012650642519475416,0.0
03FDD38FC0,19.0,0.3333333333333333,0.5789473684210527,0.0542202099562776,0.0
0400FC2EB2,16.0,0.6666666666666666,0.375,-0.11223561266839782,0.0
0423A1E2FB,18.0,0.16666666666666666,0.7222222222222222,-0.0012650642519475416,0.0
042F1DC1AD,15.0,0.5,0.4666666666666667,-0.16772088687662295,0.0
045E4C2027,17.0,0.16666666666666666,0.6470588235294118,-0.056750338460172675,0.0
0460C543CA,21.0,0.5,0.5238095238095237,0.16519075837272787,0.0
0472261EA5,21.0,0.16666666666666666,0.6666666666666666,0.16519075837272787,0.0
0473002865,18.0,0.16666666666666666,0.611111111111111,-0.0012650642519475416,0.0
0475F39EDF,17.0,0.5,0.47058823529411764,-0.056750338460172675,0.0
0481EB4CBB,43.0,0.8333333333333334,0.9534883720930232,1.3858667909536808,1.0
0488A9A2E2,16.0,0.5,0.6875,-0.11223561266839782,0.0
0496CD7134,19.0,0.16666666666666666,0.7894736842105263,0.0542202099562776,0.0
049CE51142,17.0,0.3333333333333333,0.4117647058823529,-0.056750338460172675,0.0
04A6640ADB,21.0,0.5,0.6190476190476191,0.16519075837272787,0.0
04C118D843,18.0,0.5,0.7222222222222222,-0.0012650642519475416,0.0
04C40DF878,33.0,0.8333333333333334,0.9393939393939394,0.8310140488714295,1.0
04C9AFB3C1,16.0,0.6666666666666666,0.8125,-0.11223561266839782,0.0
04D7392726,21.0,0.6666666666666666,0.5714285714285714,0.16519075837272787,0.0
04DADFEF8E,20.0,0.3333333333333333,0.55,0.10970548416450274,0.0
04DE7E4C01,19.0,0.5,0.631578947368421,0.0542202099562776,0.0
04EE5FB2CA,15.0,0.5,0.6666666666666666,-0.16772088687662295,0.0
0501316C78,18.0,0.5,0.7222222222222222,-0.0012650642519475416,0.0
05036967C7,17.0,0.5,0.5882352941176471,-0.056750338460172675,0.0
050AC1FA99,17.0,0.5,0.8235294117647058,-0.056750338460172675,0.0
050C290AE9,17.0,0.5,0.7647058823529411,-0.056750338460172675,0.0
0514B84288,19.0,0.3333333333333333,0.6842105263157894,0.0542202099562776,0.0
0517845D7B,15.0,0.5,0.6,-0.16772088687662295,0.0
051B112B05,17.0,0.16666666666666666,0.5294117647058824,-0.056750338460172675,0.0
05289CE815,16.0,0.3333333333333333,0.5625,-0.11223561266839782,0.0
054B61F461,18.0,0.5,0.5555555555555556,-0.0012650642519475416,0.0
054C88A884,20.0,0.5,0.6499999999999999,0.10970548416450274,0.0
0556D81C26,15.0,0.6666666666666666,0.5333333333333333,-0.16772088687662295,0.0
055A2BA5C3,21.0,0.6666666666666666,0.47619047619047616,0.16519075837272787,0.0
055CFF5682,16.0,0.5,0.75,-0.11223561266839782,0.0
0573AA995E,18.0,0.16666666666666666,0.6666666666666667,-0.0012650642519475416,0.0
057B6816FF,19.0,0.3333333333333333,0.631578947368421,0.0542202099562776,0.0
058B581AAB,17.0,0.16666666666666666,0.2941176470588235,-0.056750338460172675,0.0
058BF8B126,16.0,0.5,0.625,-0.11223561266839782,0.0
059111211D,19.0,0.3333333333333333,0.736842105263158,0.0542202099562776,0.0
05962DCB83,21.0,0.3333333333333333,0.8095238095238095,0.16519075837272787,0.0
05A32F2BE7,21.0,0.3333333333333333,0.6190476190476191,0.16519075837272787,0.0
05A6B8A37A,16.0,0.3333333333333333,0.625,-0.11223561266839782,0.0
05B05B14F4,18.0,0.3333333333333333,0.5,-0.0012650642519475416,0.0
05CDE44080,20.0,0.16666666666666666,0.65,0.10970548416450274,0.0
05D43A4D53,19.0,0.5,0.6842105263157894,0.0542202099562776,0.0
05D542A0BF,18.0,0.3333333333333333,0.6666666666666666,-0.0012650642519475416,0.0
05DA4367A8,19.0,0.16666666666666666,0.47368421052631576,0.0542202099562776,0.0
05DECDA0C9,21.0,0.3333333333333333,0.6666666666666666,0.16519075837272787,0.0
05E11502A8,18.0,0.6666666666666666,0.3888888888888889,-0.0012650642519475416,0.0
05E9EE4E8F,19.0,0.5,0.736842105263158,0.0542202099562776,0.0
05F3F569EF,43.0,0.8333333333333334,0.9534883720930233,1.3858667909536808,1.0
05F41BEA2E,19.0,0.3333333333333333,0.6842105263157894,0.0542202099562776,0.0
062976C88F,21.0,0.5,0.5714285714285714,0.16519075837272787,0.0
06322A1A3C,15.0,0.3333333333333333,0.5333333333333333,-0.16772088687662295,0.0
06443F53DA,20.0,0.3333333333333333,0.55,0.10970548416450274,0.0
0644800F76,18.0,0.5,0.6111111111111112,-0.0012650642519475416,0.0
0655F7FA86,16.0,0.3333333333333333,0.4375,-0.11223561266839782,0.0
065A0B7A86,17.0,0.16666666666666666,0.6470588235294118,-0.056750338460172675,0.0
0660CBADAE,19.0,0.6666666666666666,0.7368421052631579,0.0542202099562776,0.0
06639282A7,18.0,0.5,0.7222222222222223,-0.0012650642519475416,0.0
066A355B12,40.0,1.0,0.9,1.2194109683290055,1.0
067500182B,17.0,0.3333333333333333,0.6470588235294118,-0.056750338460172675,0.0
067B8227AB,20.0,0.6666666666666666,0.44999999999999996,0.10970548416450274,0.0
068EBF0405,15.0,0.3333333333333333,0.6666666666666667,-0.16772088687662295,0.0
069386E3C4,20.0,0.3333333333333333,0.65,0.10970548416450274,0.0
06946E07C1,19.0,0.5,0.631578947368421,0.0542202099562776,0.0
06A6D78855,19.0,0.8333333333333334,0.5263157894736842,0.0542202099562776,0.0
06AD2DE463,15.0,0.3333333333333333,0.6,-0.16772088687662295,0.0
06C41A6F06,16.0,0.5,0.6875,-0.11223561266839782,0.0
06C515786E,20.0,0.5,0.44999999999999996,0.10970548416450274,0.0
06C6005829,20.0,0.3333333333333333,0.65,0.10970548416450274,0.0
