,UserId,Event,Category,Fake
0,F7A7BF3761,click_carrousel,Phone,0
1,BA8F7A71E6,send_sms,Motor,0
2,21C64F22FC,send_email,Jobs,0
3,F9E0306603,send_sms,Jobs,0
4,1B2143BACC,click_ad,Phone,0
5,EC6F74C45E,click_carrousel,Real_State,0
6,14F9517C14,send_email,Leisure,0
7,5D2C5FF4B3,click_carrousel,Leisure,0
8,038FDA4873,phone_call,Motor,0
9,C0D85B424D,phone_call,Holidays,0
10,5F3653A05B,phone_call,Jobs,0
11,BCE92A2399,phone_call,Holidays,0
12,63703461E0,phone_call,Real_State,0
13,FF56C80519,click_ad,Jobs,0
14,3BEFA374F5,click_ad,Real_State,0
15,67BD34518B,send_sms,Jobs,0
16,98B1272C51,click_ad,Leisure,0
17,070BD01E74,click_ad,Jobs,0
18,0AB7634358,send_email,Holidays,0
19,C03757B6FB,send_sms,Real_State,0
20,A7FF1FB143,send_sms,Motor,0
21,A443E372AF,send_email,Holidays,0
22,6476A07FCC,send_email,Leisure,1
23,D0F8FFC259,send_email,Leisure,0
24,7E787DE224,click_ad,Leisure,0
25,FC9EA900F6,click_carrousel,Phone,0
26,4412AD8DF7,click_carrousel,Motor,0
27,396A6D32E6,send_email,Holidays,1
28,132B8BD52C,send_sms,Holidays,0
29,4C25646E2A,phone_call,Phone,0
30,80473DD288,click_ad,Holidays,0
31,6C3B2E4AC4,send_sms,Jobs,0
32,313D17C1F9,phone_call,Phone,0
33,B87DDE1F34,send_email,Holidays,1
34,D4866133EF,send_sms,Holidays,0
35,72286BB94A,click_ad,Holidays,0
36,57694325B4,send_sms,Phone,0
37,8E815E1BA0,send_sms,Phone,0
38,80473DD288,send_sms,Holidays,0
39,5A7C21FF99,send_email,Phone,0
40,00079D439D,send_email,Phone,0
41,A904BF04FC,click_carrousel,Phone,0
42,4552D0FF98,send_sms,Holidays,0
43,F48BDB5FB9,send_sms,Motor,0
44,E7FBA53C3B,click_carrousel,Jobs,1
45,FE27011987,send_sms,Real_State,0
46,C3A0C09555,send_sms,Real_State,0
47,94FC58225F,send_sms,Holidays,0
48,398A791AF4,send_sms,Motor,0
49,67F86FC586,click_carrousel,Leisure,1
50,FE8721EFC6,click_ad,Leisure,0
51,77CD434989,phone_call,Phone,0
52,DBAA911731,click_carrousel,Motor,0
53,60E6B6A7E1,click_carrousel,Real_State,0
54,1F1F43E6F9,click_carrousel,Leisure,0
55,F2FB18D889,send_sms,Motor,0
56,68CEF25F53,phone_call,Leisure,0
57,885B7483B1,phone_call,Motor,0
58,53D1DC032C,click_carrousel,Real_State,0
59,D4552221AB,phone_call,Jobs,0
60,AC35C1B9E6,click_ad,Jobs,1
61,EE6332E6A8,send_email,Phone,1
62,0BA0A36E32,send_email,Real_State,0
63,562CFD6094,click_ad,Holidays,0
64,2BF45823F2,click_ad,Holidays,0
65,1BF04B78FD,click_ad,Motor,0
66,D0DFAAA84B,phone_call,Leisure,0
67,1FEF708975,click_carrousel,Motor,0
68,93EC3F2D50,send_email,Leisure,0
69,7F491A3C8F,phone_call,Jobs,0
70,987F3C59FE,phone_call,Leisure,0
71,B72C9A7E23,phone_call,Motor,0
72,B6890008DC,phone_call,Jobs,0
73,5FEDA495E5,send_email,Phone,0
74,FFB0AC6E49,phone_call,Leisure,0
75,C11534BA6C,phone_call,Jobs,0
76,7DBAFF8B4B,phone_call,Phone,0
77,353BD35335,click_ad,Leisure,0
78,AA7F1F2782,click_carrousel,Holidays,0
79,4B74FCB83B,send_email,Real_State,0
80,0178325C29,click_carrousel,Motor,0
81,42ACC6DE6F,send_sms,Holidays,0
82,B525E38DDD,send_email,Motor,1
83,DB36F9A1D0,send_sms,Leisure,0
84,627512965A,click_carrousel,Motor,0
85,91C113E1C0,send_sms,Leisure,0
86,9C34A44950,click_ad,Jobs,0
87,B59686531E,click_carrousel,Phone,0
88,69EB430D19,click_ad,Real_State,1
89,2FCA2EA6A1,send_sms,Jobs,0
90,90A1089565,phone_call,Jobs,0
91,D3ACCE40FB,phone_call,Phone,0
92,5BBE2153C4,send_email,Motor,1
93,D628B3B370,send_email,Phone,0
94,25DC1CFACA,send_sms,Motor,0
95,C03674E07E,send_email,Holidays,0
96,38F115602F,send_sms,Real_State,0
97,67E7BDF68A,click_ad,Motor,0
98,167141F55E,send_sms,Motor,0
99,8D1B206009,send_email,Motor,0
100,FC0E70D583,click_ad,Phone,0
101,BC35EEAB5A,send_sms,Leisure,1
102,D63E0714C8,click_ad,Motor,0
103,388BA43B1A,click_carrousel,Holidays,0
104,A658DFA0D1,click_carrousel,Leisure,1
105,E4C7B9BE4F,send_sms,Leisure,0
106,AFB8076957,send_sms,Real_State,0
107,CAD68C6C2E,send_email,Phone,0
108,259C43C8D4,click_ad,Phone,0
109,6BA6F2DFE9,phone_call,Leisure,0
110,2C14DE6B16,click_ad,Leisure,0
